Title,Year,Duration,Genre,Certificate,Ratings,Votes
Diary of a Wimpy Kid,(2021),None,"
Animation, Comedy, Drama            ",PG,None,None
Charlie and the Chocolate Factory,(2005),115 min,"
Adventure, Comedy, Family            ",PG,6.6,"449,775"
After Life,(2019– ),30 min,"
Comedy, Drama            ",None,8.4,"95,353"
iZombie,(2015–2019),42 min,"
Comedy, Crime, Drama            ",None,7.8,"63,785"
Malcolm in the Middle,(2000–2006),22 min,"
Comedy, Family            ",None,8.0,"123,670"
The Conners,(2018– ),30 min,"
Comedy            ",None,5.3,"9,361"
Superbad,(2007),113 min,"
Comedy            ",R,7.6,"545,609"
Werewolves Within,(2021),97 min,"
Comedy, Horror            ",R,6.0,"10,272"
American Dad!,(2005– ),22 min,"
Animation, Comedy            ",None,7.3,"121,396"
Grace and Frankie,(2015–2022),30 min,"
Comedy            ",None,8.2,"44,496"
Atypical,(2017–2021),30 min,"
Comedy, Drama            ",None,8.3,"77,740"
Love Actually,(2003),135 min,"
Comedy, Drama, Romance            ",R,7.6,"449,182"
Hall Pass,(2011),105 min,"
Comedy, Romance            ",R,5.8,"122,911"
Encanto,(2021),99 min,"
Animation, Adventure, Comedy            ",PG,None,None
Monster House,(2006),91 min,"
Animation, Comedy, Family            ",PG,6.6,"110,044"
Ghostbusters,(2016),117 min,"
Action, Comedy, Fantasy            ",PG-13,6.5,"214,273"
The Breakfast Club,(1985),97 min,"
Comedy, Drama            ",None,7.8,"374,098"
The Witches,(2020),106 min,"
Adventure, Comedy, Family            ",PG,5.3,"33,605"
Sen Çal Kapimi,(2020–2021),120 min,"
Comedy, Romance            ",None,7.5,"7,154"
Moana,(I) (2016),107 min,"
Animation, Adventure, Comedy            ",PG,7.6,"299,561"
Little Shop of Horrors,(1986),94 min,"
Comedy, Horror, Musical            ",PG-13,7.0,"71,117"
My Life Is Murder,(2019– ),60 min,"
Comedy, Crime, Drama            ",None,7.6,"2,341"
Almost Famous,(2000),122 min,"
Adventure, Comedy, Drama            ",R,7.9,"265,959"
Green Book,(2018),130 min,"
Biography, Comedy, Drama            ",PG-13,8.2,"431,768"
Hunter x Hunter,(2011–2014),24 min,"
Animation, Action, Adventure            ",None,9.0,"74,303"
About Time,(I) (2013),123 min,"
Comedy, Drama, Fantasy            ",R,7.8,"324,763"
The Girl Next Door,(2004),109 min,"
Comedy, Drama, Romance            ",R,6.7,"216,158"
"Love, Death & Robots",(2019– ),15 min,"
Animation, Short, Action            ",None,8.5,"125,552"
Scary Movie 4,(2006),83 min,"
Comedy            ",PG-13,5.1,"117,700"
SpongeBob SquarePants,(1999– ),23 min,"
Animation, Comedy, Family            ",None,8.2,"90,172"
The Babysitter,(I) (2017),85 min,"
Comedy, Horror            ",None,6.4,"83,646"
Grown Ups,(I) (2010),102 min,"
Comedy            ",PG-13,6.0,"238,324"
Good Omens,(2019),328 min,"
Comedy, Fantasy            ",None,8.1,"68,002"
The Death of Stalin,(2017),107 min,"
Comedy, Drama, History            ",R,7.3,"95,453"
The Wonder Years,(1988–1993),22 min,"
Comedy, Drama, Family            ",None,8.3,"36,185"
The Lobster,(2015),119 min,"
Comedy, Drama, Romance            ",R,7.2,"236,849"
Legally Blonde,(2001),96 min,"
Comedy, Romance            ",None,6.4,"201,424"
She's All That,(1999),95 min,"
Comedy, Romance            ",PG-13,5.9,"91,805"
Snatch,(2000),104 min,"
Comedy, Crime            ",R,8.3,"815,346"
Little Things,(2016– ),16 min,"
Comedy, Romance            ",None,8.3,"5,759"
Guardians of the Galaxy Vol. 2,(2017),136 min,"
Action, Adventure, Comedy            ",PG-13,7.6,"615,561"
Dead to Me,(2019– ),30 min,"
Comedy, Crime, Drama            ",None,8.0,"65,615"
Fantastic Mr. Fox,(2009),87 min,"
Animation, Adventure, Comedy            ",PG,7.9,"214,235"
The King of Queens,(1998–2007),22 min,"
Comedy            ",None,7.3,"78,799"
Never Have I Ever,(2020– ),30 min,"
Comedy, Drama            ",None,7.8,"40,293"
The Wonder Years,(2021– ),None,"
Comedy, Drama, Family            ",None,5.5,"2,104"
Sa-rang-eui bul-sa-chak,(2019–2020),70 min,"
Adventure, Comedy, Romance            ",None,8.7,"19,605"
Veep,(2012–2019),28 min,"
Comedy            ",None,8.3,"49,764"
The Other Two,(2019– ),30 min,"
Comedy            ",None,7.7,"4,437"
The Monster Squad,(1987),79 min,"
Action, Comedy, Fantasy            ",None,7.0,"31,239"
Girls,(2012–2017),28 min,"
Comedy, Drama            ",None,7.3,"68,208"
Red Rocket,(2021),128 min,"
Comedy, Drama            ",R,7.5,669
Black Clover,(2017–2021),24 min,"
Animation, Action, Adventure            ",None,8.3,"15,154"
Emma.,(2020),124 min,"
Comedy, Drama, Romance            ",PG,6.7,"42,366"
Soul,(2020),100 min,"
Animation, Adventure, Comedy            ",PG,8.1,"282,809"
Kim's Convenience,(2016–2021),22 min,"
Comedy            ",None,8.2,"14,419"
Final Space,(2018–2021),30 min,"
Animation, Action, Adventure            ",None,8.2,"39,421"
Dave,(2020– ),30 min,"
Comedy, Music            ",None,8.3,"15,555"
Suicide Squad: Kill the Justice League,(2022 Video Game),None,"
Action, Adventure, Comedy            ",None,None,None
Jumanji: Welcome to the Jungle,(2017),119 min,"
Action, Adventure, Comedy            ",PG-13,6.9,"347,403"
Yesterday,(III) (2019),116 min,"
Comedy, Fantasy, Music            ",PG-13,6.8,"139,270"
Adventure Time,(2010–2018),11 min,"
Animation, Action, Adventure            ",None,8.6,"84,606"
Ferris Bueller's Day Off,(1986),103 min,"
Comedy            ",None,7.8,"337,503"
Hagane no renkinjutsushi,(2009–2012),24 min,"
Animation, Action, Adventure            ",None,9.1,"141,235"
Knight and Day,(2010),109 min,"
Action, Adventure, Comedy            ",PG-13,6.3,"187,452"
The IT Crowd,(2006–2013),25 min,"
Comedy            ",None,8.5,"141,830"
Love Life,(2020– ),35 min,"
Comedy, Romance            ",None,7.5,"10,751"
Easy A,(2010),92 min,"
Comedy, Drama, Romance            ",PG-13,7.0,"374,007"
